,doc_id,sentence
70,2,of the dead - dead who lies
71,2,"all perfum'd there,"
72,2,"with the death upon her eyes,"
73,2,"and the life upon her hair,"
74,2,"viii,"
75,2,thus on the coffin loud and long
76,2,i strike - the murmur sent
77,2,"through the grey chambers to my song,"
78,2,"shall be the accompaniment,"
79,2,"ix,"
80,2,thou died'st in thy life's june -
81,2,"but thou did'st not die too fair,"
82,2,"thou did'st not die too soon,"
83,2,"nor with too calm an air,"
84,2,"x,"
85,2,"from more than fiends on earth,"
86,2,"thy life and love are riven,"
87,2,to join the untainted mirth
88,2,of more than thrones in heaven -
89,2,"xii,"
90,2,"therefore, to thee this night"
91,2,"i will no requiem raise,"
92,2,"but waft thee on thy flight,"
93,2,"with a pæan of old days,"
94,3,"for her this rhyme is penned, whose luminous eyes,"
95,3,"   brightly expressive as the twins of leda,"
96,3," shall find her own sweet name, that nestling lies"
97,3,"   upon the page, enwrapped from every reader,"
98,3, search narrowly the lines!- they hold a treasure
99,3,   divine- a talisman- an amulet
100,3," that must be worn at heart, search well the measure-"
101,3,   the words- the syllables! do not forget
102,3," the trivialest point, or you may lose your labor"
103,3,   and yet there is in this no gordian knot
104,3," which one might not undo without a sabre,"
105,3,"   if one could merely comprehend the plot,"
106,3, enwritten upon the leaf where now are peering
107,3,"   eyes scintillating soul, there lie perdus"
108,3, three eloquent words oft uttered in the hearing
109,3,"   of poets, by poets- as the name is a poet's, too,"
110,3," its letters, although naturally lying"
111,3,   like the knight pinto- mendez ferdinando-
112,3, still form a synonym for truth- cease trying!
113,3,"   you will not read the riddle, though you do the best you can do,"
114,4,part i
115,4,     o! nothing earthly save the ray
116,4,"     thrown back from flowers of beauty's eye,"
117,4,     as in those gardens where the day
118,4,     springs from the gems of circassy-
119,4,     o! nothing earthly save the thrill
120,4,     of melody in woodland rill-
121,4,     or music of the passion-hearted
122,4,     joy's voice so peacefully departed
123,4,"     that like the murmur in the shell,"
124,4,     its echo dwelleth and will dwell-
125,4,"     oh, nothing of the dross of ours-"
126,4,     yet all the beauty- all the flowers
127,4,"     that list our love, and deck our bowers-"
128,4,"     adorn yon world afar, afar-"
129,4,"     the wandering star,"
130,4,     'twas a sweet time for nesace- for there
131,4,"     her world lay lolling on the golden air,"
132,4,     near four bright suns- a temporary rest-
133,4,"     an oasis in desert of the blest,"
134,4,     away- away- 'mid seas of rays that roll
135,4,     empyrean splendor o'er th' unchained soul-
136,4,     the soul that scarce the billows are so dense
137,4,"     can struggle to its destin'd eminence,-"
138,4,"     to distant spheres, from time to time, she rode"
139,4,"     and late to ours, the favor'd one of god-"
140,4,"     but, now, the ruler of an anchor'd realm,"
141,4,"     she throws aside the sceptre- leaves the helm,"
142,4,"     and, amid incense and high spiritual hymns,"
143,4,"     laves in quadruple light her angel limbs,"
144,4,"     now happiest, loveliest in yon lovely earth,"
145,4,"     whence sprang the idea of beauty into birth,"
146,4,"     falling in wreaths thro' many a startled star,"
147,4,"     like woman's hair 'mid pearls, until, afar,"
148,4,"     it lit on hills achaian, and there dwelt"
149,4,"     she looked into infinity- and knelt,"
150,4,"     rich clouds, for canopies, about her curled-"
151,4,     fit emblems of the model of her world-
152,4,     seen but in beauty- not impeding sight
153,4,     of other beauty glittering thro' the light-
154,4,"     a wreath that twined each starry form around,"
155,4,"     and all the opal'd air in color bound,"
156,4,       all hurriedly she knelt upon a bed
157,4,"     of flowers, of lilies such as rear'd the head"
158,4,"     on the fair capo deucato, and sprang"
159,4,     so eagerly around about to hang
160,4,     upon the flying footsteps of- deep pride-
161,4,"     of her who lov'd a mortal- and so died,"
162,4,"     the sephalica, budding with young bees,"
163,4,"     upreared its purple stem around her knees,-"
164,4,"     and gemmy flower, of trebizond misnam'd-"
165,4,"     inmate of highest stars, where erst it sham'd"
166,4,"     all other loveliness,- its honied dew"
167,4,     the fabled nectar that the heathen knew
168,4,"     deliriously sweet, was dropp'd from heaven,"
169,4,     and fell on gardens of the unforgiven
170,4,     in trebizond- and on a sunny flower
171,4,"     so like its own above that, to this hour,"
172,4,"     it still remaineth, torturing the bee"
173,4,"     with madness, and unwonted reverie,"
174,4,"     in heaven, and all its environs, the leaf"
175,4,     and blossom of the fairy plant in grief
176,4,"     disconsolate linger- grief that hangs her head,"
177,4,"     repenting follies that full long have red,"
178,4,"     heaving her white breast to the balmy air,"
179,4,"     like guilty beauty, chasten'd and more fair,"
180,4,"     nyctanthes too, as sacred as the light"
181,4,"     she fears to perfume, perfuming the night,"
182,4,"     and clytia, pondering between many a sun,"
183,4,"     while pettish tears adown her petals run,"
184,4,"     and that aspiring flower that sprang on earth,"
185,4,"     and died, ere scarce exalted into birth,"
186,4,     bursting its odorous heart in spirit to wing
187,4,"     its way to heaven, from garden of a king,"
188,4,"     and valisnerian lotus, thither flown"
189,4,"     from struggling with the waters of the rhone,"
190,4,"     and thy most lovely purple perfume, zante!"
191,4,     isola d'oro!- fior di levante!
192,4,     and the nelumbo bud that floats for ever
193,4,     with indian cupid down the holy river-
194,4,"     fair flowers, and fairy! to whose care is given"
195,4,"     to bear the goddess' song, in odors, up to heaven,"
196,4,"          spirit! that dwellest where,"
197,4,"            in the deep sky,"
198,4,"          the terrible and fair,"
199,4,            in beauty vie!
200,4,          beyond the line of blue-
201,4,            the boundary of the star
202,4,          which turneth at the view
203,4,            of thy barrier and thy bar-
204,4,          of the barrier overgone
205,4,            by the comets who were cast
206,4,          from their pride and from their throne
207,4,            to be drudges till the last-
208,4,          to be carriers of fire
209,4,            the red fire of their heart
210,4,          with speed that may not tire
211,4,            and with pain that shall not part-
212,4,          who livest- that we know-
213,4,            in eternity- we feel-
214,4,          but the shadow of whose brow
215,4,            what spirit shall reveal?
216,4,"          tho' the beings whom thy nesace,"
217,4,            thy messenger hath known
218,4,          have dream'd for thy infinity
219,4,            a model of their own-
220,4,"          thy will is done, o god!"
221,4,            the star hath ridden high
222,4,"          thro' many a tempest, but she rode"
223,4,            beneath thy burning eye;
224,4,"          and here, in thought, to thee-"
225,4,            in thought that can alone
226,4,          ascend thy empire and so be
227,4,            a partner of thy throne-
228,4,"          by winged fantasy,"
229,4,"          my embassy is given,"
230,4,          till secrecy shall knowledge be
231,4,"            in the environs of heaven,"
232,4,     she ceas'd- and buried then her burning cheek
233,4,"     abash'd, amid the lilies there, to seek"
234,4,     a shelter from the fervor of his eye;
235,4,"     for the stars trembled at the deity,"
236,4,     she stirr'd not- breath'd not- for a voice was there
237,4,     how solemnly pervading the calm air!
238,4,     a sound of silence on the startled ear
239,4,"     which dreamy poets name the music of the sphere,"
240,4,"     ours is a world of words, quiet we call"
241,4,"     silence- which is the merest word of all,"
242,4,"     all nature speaks, and ev'n ideal things"
243,4,     flap shadowy sounds from visionary wings-
244,4,"     but ah! not so when, thus, in realms on high"
245,4,"     the eternal voice of god is passing by,"
246,4,"     and the red winds are withering in the sky,-"
247,4,"       what tho 'in worlds which sightless cycles run,"
248,4,"     linked to a little system, and one sun-"
249,4,     where all my love is folly and the crowd
250,4,"     still think my terrors but the thunder cloud,"
251,4,"     the storm, the earthquake, and the ocean-wrath-"
252,4,     ah! will they cross me in my angrier path?
253,4,     what tho' in worlds which own a single sun
254,4,"     the sands of time grow dimmer as they run,"
255,4,"     yet thine is my resplendency, so given"
256,4,     to bear my secrets thro' the upper heaven!
257,4,"     leave tenantless thy crystal home, and fly,"
258,4,"     with all thy train, athwart the moony sky-"
259,4,"     apart- like fire-flies in sicilian night,"
260,4,     and wing to other worlds another light!
261,4,     divulge the secrets of thy embassy
262,4,     to the proud orbs that twinkle- and so be
263,4,     to ev'ry heart a barrier and a ban
264,4,     lest the stars totter in the guilt of man!
265,4,"       up rose the maiden in the yellow night,"
266,4,     the single-mooned eve!- on earth we plight
267,4,     our faith to one love- and one moon adore-
268,4,"     the birth-place of young beauty had no more,"
269,4,     as sprang that yellow star from downy hours
270,4,"     up rose the maiden from her shrine of flowers,"
271,4,     and bent o'er sheeny mountains and dim plain
272,4,"     her way, but left not yet her therasaean reign,"
273,4,                   part ii
274,4,     high on a mountain of enamell'd head-
275,4,     such as the drowsy shepherd on his bed
276,4,"     of giant pasturage lying at his ease,"
277,4,"     raising his heavy eyelid, starts and sees"
278,4,     with many a mutter'd hope to be forgiven
279,4,     what time the moon is quadrated in heaven-
280,4,"     of rosy head that, towering far away"
281,4,"     into the sunlit ether, caught the ray"
282,4,"     of sunken suns at eve- at noon of night,"
283,4,     while the moon danc'd with the fair stranger light-
284,4,     uprear'd upon such height arose a pile
285,4,"     of gorgeous columns on th' unburthen'd air,"
286,4,     flashing from parian marble that twin smile
287,4,"     far down upon the wave that sparkled there,"
288,4,"     and nursled the young mountain in its lair,"
289,4,"     of molten stars their pavement, such as fall"
290,4,"     thro' the ebon air, besilvering the pall"
291,4,"     of their own dissolution, while they die-"
292,4,"     adorning then the dwellings of the sky,"
293,4,"     a dome, by linked light from heaven let down,"
294,4,     sat gently on these columns as a crown-
295,4,"     a window of one circular diamond, there,"
296,4,"     look'd out above into the purple air,"
297,4,     and rays from god shot down that meteor chain
298,4,"     and hallow'd all the beauty twice again,"
299,4,"     save, when, between th' empyrean and that ring,"
300,4,"     some eager spirit flapp'd his dusky wing,"
301,4,     but on the pillars seraph eyes have seen
302,4,"     the dimness of this world, that greyish green"
303,4,     that nature loves the best beauty's grave
304,4,"     lurk'd in each cornice, round each architrave-"
305,4,     and every sculptur'd cherub thereabout
306,4,"     that from his marble dwelling peered out,"
307,4,     seem'd earthly in the shadow of his niche-
308,4,     achaian statues in a world so rich!
309,4,     friezes from tadmor and persepolis-
310,4,"     from balbec, and the stilly, clear abyss"
311,4,"     of beautiful gomorrah! o, the wave"
312,4,     is now upon thee- but too late to save!
313,4,"       sound loves to revel in a summer night,"
314,4,     witness the murmur of the grey twilight
315,4,"     that stole upon the ear, in eyraco,"
316,4,     of many a wild star-gazer long ago-
317,4,     that stealeth ever on the ear of him
318,4,"     who, musing, gazeth on the distance dim,"
319,4,     and sees the darkness coming as a cloud-
320,4,     is not its form- its voice- most palpable and loud?
321,4,"       but what is this?- it cometh, and it brings"
322,4,     a music with it- 'tis the rush of wings-
323,4,"     a pause- and then a sweeping, falling strain"
324,4,"     and nesace is in her halls again,"
325,4,     from the wild energy of wanton haste
326,4,"       her cheeks were flushing, and her lips apart;"
327,4,     and zone that clung around her gentle waist
328,4,"       had burst beneath the heaving of her heart,"
329,4,"     within the centre of that hall to breathe,"
330,4,"     she paused and panted, zanthe! all beneath,"
331,4,     the fairy light that kiss'd her golden hair
332,4,"     and long'd to rest, yet could but sparkle there,"
333,4,       young flowers were whispering in melody
334,4,     to happy flowers that night- and tree to tree;
335,4,     fountains were gushing music as they fell
336,4,"     in many a star-lit grove, or moon-lit dell;"
337,4,     yet silence came upon material things-
338,4,"     fair flowers, bright waterfalls and angel wings-"
339,4,     and sound alone that from the spirit sprang
340,4,"     bore burthen to the charm the maiden sang,"
341,4,            'neath the blue-bell or streamer-
342,4,            or tufted wild spray
343,4,"          that keeps, from the dreamer,"
344,4,            the moonbeam away-
345,4,"          bright beings! that ponder,"
346,4,"            with half closing eyes,"
347,4,          on the stars which your wonder
348,4,"            hath drawn from the skies,"
349,4,"          till they glance thro' the shade, and"
350,4,            come down to your brow
351,4,          like- eyes of the maiden
352,4,            who calls on you now-
353,4,          arise! from your dreaming
354,4,"            in violet bowers,"
355,4,          to duty beseeming
356,4,            these star-litten hours-
357,4,          and shake from your tresses
358,4,            encumber'd with dew
359,4,          the breath of those kisses
360,4,            that cumber them too-
361,4,"          o! how, without you, love!"
362,4,            could angels be blest?
363,4,          those kisses of true love
364,4,            that lull'd ye to rest!
365,4,          up!- shake from your wing
366,4,"            each hindering thing,"
367,4,          the dew of the night-
368,4,            it would weigh down your flight
369,4,          and true love caresses-
370,4,"            o, leave them apart!"
371,4,"          they are light on the tresses,"
372,4,"            but lead on the heart,"
373,4,          ligeia! ligeia!
374,4,            my beautiful one!
375,4,          whose harshest idea
376,4,"            will to melody run,"
377,4,          o! is it thy will
378,4,            on the breezes to toss?
379,4,"          or, capriciously still,"
380,4,"            like the lone albatros,"
381,4,          incumbent on night
382,4,            as she on the air
383,4,          to keep watch with delight
384,4,            on the harmony there?
385,4,          ligeia! wherever
386,4,"            thy image may be,"
387,4,          no magic shall sever
388,4,"            thy music from thee,"
389,4,          thou hast bound many eyes
390,4,            in a dreamy sleep-
391,4,          but the strains still arise
392,4,            which thy vigilance keep-
393,4,"          the sound of the rain,"
394,4,            which leaps down to the flower-
395,4,          and dances again
396,4,            in the rhythm of the shower-
397,4,          the murmur that springs
398,4,            from the growing of grass
399,4,          are the music of things-
400,4,"            but are modell'd, alas!-"
401,4,"          away, then, my dearest,"
402,4,            oh! hie thee away
403,4,          to the springs that lie clearest
404,4,            beneath the moon-ray-
405,4,"          to lone lake that smiles,"
406,4,"            in its dream of deep rest,"
407,4,          at the many star-isles
408,4,            that enjewel its breast-
409,4,"          where wild flowers, creeping,"
410,4,"            have mingled their shade,"
411,4,          on its margin is sleeping
412,4,            full many a maid-
413,4,"          some have left the cool glade, and"
414,4,            have slept with the bee-
415,4,"          arouse them, my maiden,"
416,4,            on moorland and lea-
417,4,"          go! breathe on their slumber,"
418,4,"            all softly in ear,"
419,4,          thy musical number
420,4,            they slumbered to hear-
421,4,          for what can awaken
422,4,"            an angel so soon,"
423,4,          whose sleep hath been taken
424,4,"            beneath the cold moon,"
425,4,          as the spell which no slumber
426,4,"            of witchery may test,"
427,4,          the rhythmical number
428,4,            which lull'd him to rest?
429,4,"     spirits in wing, and angels to the view,"
430,4,"     a thousand seraphs burst th' empyrean thro',"
431,4,     young dreams still hovering on their drowsy flight-
432,4,"     seraphs in all but knowledge, the keen light"
433,4,"     that fell, refracted, thro' thy bounds, afar,"
434,4,"     o death! from eye of god upon that star,"
435,4,     sweet was that error- sweeter still that death-
436,4,     sweet was that error- even with us the breath
437,4,     of science dims the mirror of our joy-
438,4,"     to them 'twere the simoom, and would destroy-"
439,4,     for what to them availeth it to know
440,4,     that truth is falsehood- or that bliss is woe?
441,4,     sweet was their death- with them to die was rife
442,4,     with the last ecstasy of satiate life-
443,4,     beyond that death no immortality-
444,4,     but sleep that pondereth and is not to be'!-
445,4,     and there- oh! may my weary spirit dwell-
446,4,     apart from heaven's eternity- and yet how far from hell!
447,4,"     what guilty spirit, in what shrubbery dim,"
448,4,     heard not the stirring summons of that hymn?
449,4,"     but two, they fell, for heaven no grace imparts"
450,4,"     to those who hear not for their beating hearts,"
451,4,     a maiden-angel and her seraph-lover-
452,4,     o! where and ye may seek the wide skies over
453,4,"     was love, the blind, near sober duty known?"
454,4,"     unguided love hath fallen- 'mid tears of perfect moan,"
455,4,"     he was a goodly spirit- he who fell,"
456,4,     a wanderer by moss-y-mantled well-
457,4,     a gazer on the lights that shine above-
458,4,"     a dreamer in the moonbeam by his love,"
459,4,"     what wonder? for each star is eye-like there,"
460,4,     and looks so sweetly down on beauty's hair-
461,4,"     and they, and ev'ry mossy spring were holy"
462,4,"     to his love-haunted heart and melancholy,"
463,4,     the night had found to him a night of woe
464,4,"     upon a mountain crag, young angelo-"
465,4,"     beetling it bends athwart the solemn sky,"
466,4,"     and scowls on starry worlds that down beneath it lie,"
467,4,     here sat he with his love- his dark eye bent
468,4,"     with eagle gaze along the firmament,"
469,4,     now turn'd it upon her- but ever then
470,4,"     it trembled to the orb of earth again,"
471,4,"     ianthe, dearest, see- how dim that ray!"
472,4,     how lovely 'tis to look so far away!
473,4,     she seem'd not thus upon that autumn eve
474,4,"     i left her gorgeous halls- nor mourn'd to leave,"
475,4,     that eve- that eve- i should remember well-
476,4,"     the sun-ray dropp'd in lemnos, with a spell"
477,4,     on th' arabesque carving of a gilded hall
478,4,"     wherein i sate, and on the draperied wall-"
479,4,     and on my eyelids- o the heavy light!
480,4,     how drowsily it weigh'd them into night!
481,4,"     on flowers, before, and mist, and love they ran"
482,4,"     with persian saadi in his gulistan,"
483,4,"     but o that light!- i slumber'd- death, the while,"
484,4,     stole o'er my senses in that lovely isle
485,4,     so softly that no single silken hair
486,4,"     awoke that slept- or knew that he was there,"
487,4,     the last spot of earth's orb i trod upon
488,4,     was a proud temple call'd the parthenon;
489,4,     more beauty clung around her column'd wall
490,4,"     than ev'n thy glowing bosom beats withal,"
491,4,     and when old time my wing did disenthral
492,4,"     thence sprang i- as the eagle from his tower,"
493,4,"     and years i left behind me in an hour,"
494,4,"     what time upon her airy bounds i hung,"
495,4,     one half the garden of her globe was flung
496,4,     unrolling as a chart unto my view-
497,4,     tenantless cities of the desert too!
498,4,"     ianthe, beauty crowded on me then,"
499,4,"     and half i wish'd to be again of men,"
500,4,     my angelo! and why of them to be?
501,4,     a brighter dwelling-place is here for thee-
502,4,"     and greener fields than in yon world above,"
503,4,"     and woman's loveliness- and passionate love,"
504,4,"     but, list, ianthe! when the air so soft"
505,4,"     fail'd, as my pennon'd spirit leapt aloft,"
506,4,     perhaps my brain grew dizzy- but the world
507,4,     i left so late was into chaos hurl'd-
508,4,"     sprang from her station, on the winds apart,"
509,4,"     and roll'd, a flame, the fiery heaven athwart,"
510,4,"     methought, my sweet one, then i ceased to soar"
511,4,"     and fell- not swiftly as i rose before,"
512,4,"     but with a downward, tremulous motion thro'"
513,4,"     light, brazen rays, this golden star unto!"
514,4,"     nor long the measure of my falling hours,"
515,4,     for nearest of all stars was thine to ours-
516,4,"     dread star! that came, amid a night of mirth,"
517,4,"     a red daedalion on the timid earth,"
518,4,     we came- and to thy earth- but not to us
519,4,"     be given our lady's bidding to discuss,"
520,4,"     we came, my love; around, above, below,"
521,4,"     gay fire-fly of the night we come and go,"
522,4,     nor ask a reason save the angel-nod
523,4,"     she grants to us, as granted by her god-"
524,4,"     but, angelo, than thine grey time unfurl'd"
525,4,     never his fairy wing o'er fairier world!
526,4,"     dim was its little disk, and angel eyes"
527,4,"     alone could see the phantom in the skies,"
528,4,     when first al aaraaf knew her course to be
529,4,     headlong thitherward o'er the starry sea-
530,4,"     but when its glory swell'd upon the sky,"
531,4,"     as glowing beauty's bust beneath man's eye,"
532,4,"     we paused before the heritage of men,"
533,4,     and thy star trembled- as doth beauty then!
534,4,"     thus, in discourse, the lovers whiled away"
535,4,"     the night that waned and waned and brought no day,"
536,4,"     they fell, for heaven to them no hope imparts"
537,4,"     who hear not for the beating of their hearts,"
538,5,from childhood's hour i have not been
539,5,as others were; i have not seen
540,5,as others saw; i could not bring
541,5,"my passions from a common spring,"
542,5,from the same source i have not taken
543,5,my sorrow; i could not awaken
544,5,my heart to joy at the same tone;
545,5,"and all i loved, i loved alone,"
546,5,"then- in my childhood, in the dawn"
547,5,of a most stormy life- was drawn
548,5,from every depth of good and ill
549,5,"the mystery which binds me still,"
550,5,"from the torrent, or the fountain,"
551,5,"from the red cliff of the mountain,"
552,5,from the sun that round me rolled
553,5,"in its autumn tint of gold,"
554,5,from the lightning in the sky
555,5,"as it passed me flying by,"
556,5,"from the thunder and the storm,"
557,5,and the cloud that took the form
558,5,when the rest of heaven was blue
559,5,"of a demon in my view,"
560,6,elizabeth it is in vain you say
561,6,"love not — thou sayest it in so sweet a way,"
562,6,"in vain those words from thee or l, e, l,"
563,6,"zantippe's talents had enforced so well,"
564,6,"ah! if that language from thy heart arise,"
565,6,"breathe it less gently forth — and veil thine eyes,"
566,6,"endymion, recollect, when luna tried"
567,6,to cure his love — was cured of all beside —
568,6,"his folly — pride — and passion — for he died,"
569,7,"seldom we find, says solomon don dunce,"
570,7,"       half an idea in the profoundest sonnet,"
571,7,     through all the flimsy things we see at once
572,7,       as easily as through a naples bonnet-
573,7,       trash of all trash!- how can a lady don it?
574,7,     yet heavier far than your petrarchan stuff-
575,7,     owl-downy nonsense that the faintest puff
576,7,"       twirls into trunk-paper the while you con it,"
577,7,"     and, veritably, sol is right enough,"
578,7,     the general tuckermanities are arrant
579,7,     bubbles- ephemeral and so transparent-
580,7,"       but this is, now- you may depend upon it-"
581,7,"     stable, opaque, immortal- all by dint"
582,7,"     of the dear names that he concealed within 't,"
583,8,"it was many and many a year ago,"
584,8,"         in a kingdom by the sea,"
585,8,   that a maiden there lived whom you may know
586,8,         by the name of annabel lee;
587,8,   and this maiden she lived with no other thought
588,8,"         than to love and be loved by me,"
589,8,"   i was a child and she was a child,"
590,8,         in this kingdom by the sea;
591,8,   but we loved with a love that was more than love-
592,8,         i and my annabel lee;
593,8,   with a love that the winged seraphs of heaven
594,8,"         coveted her and me,"
595,8,"   and this was the reason that, long ago,"
596,8,"         in this kingdom by the sea,"
597,8,"   a wind blew out of a cloud, chilling"
598,8,         my beautiful annabel lee;
599,8,   so that her highborn kinsman came
600,8,"         and bore her away from me,"
601,8,   to shut her up in a sepulchre
602,8,"         in this kingdom by the sea,"
603,8,"   the angels, not half so happy in heaven,"
604,8,         went envying her and me-
605,8,"   yes!- that was the reason as all men know,"
606,8,         in this kingdom by the sea
607,8,"   that the wind came out of the cloud by night,"
608,8,"         chilling and killing my annabel lee,"
609,8,   but our love it was stronger by far than the love
610,8,         of those who were older than we-
611,8,         of many far wiser than we-
612,8,"   and neither the angels in heaven above,"
613,8,"         nor the demons down under the sea,"
614,8,   can ever dissever my soul from the soul
615,8,"         of the beautiful annabel lee,"
616,8,   for the moon never beams without bringing me dreams
617,8,         of the beautiful annabel lee;
618,8,   and the stars never rise but i feel the bright eyes
619,8,         of the beautiful annabel lee;
620,8,"   and so, all the night-tide, i lie down by the side"
621,8,"   of my darling- my darling- my life and my bride,"
622,8,"         in the sepulchre there by the sea,"
623,8,"         in her tomb by the sounding sea,"
624,9,"the ring is on my hand,"
625,9,        and the wreath is on my brow;
626,9,      satin and jewels grand
627,9,"      are all at my command,"
628,9,"        and i am happy now,"
629,9,      and my lord he loves me well;
630,9,"        but, when first he breathed his vow,"
631,9,      i felt my bosom swell-
632,9,"      for the words rang as a knell,"
633,9,      and the voice seemed his who fell
634,9,"      in the battle down the dell,"
635,9,"        and who is happy now,"
636,9,"      but he spoke to re-assure me,"
637,9,"        and he kissed my pallid brow,"
638,9,"      while a reverie came o'er me,"
639,9,"      and to the church-yard bore me,"
640,9,"      and i sighed to him before me,"
641,9,"      thinking him dead d'elormie,"
642,9,"      oh, i am happy now!"
643,9,"      and thus the words were spoken,"
644,9,"        and this the plighted vow,"
645,9,"      and, though my faith be broken,"
646,9,"      and, though my heart be broken,"
647,9,"      here is a ring, as token"
648,9,        that i am happy now!
649,9,      would god i could awaken!
650,9,        for i dream i know not how!
651,9,      and my soul is sorely shaken
652,9,"      lest an evil step be taken,-"
653,9,      lest the dead who is forsaken
654,9,"        may not be happy now,"
655,10,"by a route obscure and lonely,"
656,10,"haunted by ill angels only,"
657,10,"where an eidolon, named night,"
658,10,"on a black throne reigns upright,"
659,10,i have reached these lands but newly
660,10,from an ultimate dim thule-
661,10,"from a wild clime that lieth, sublime,"
662,10,"out of space- out of time,"
663,10,"bottomless vales and boundless floods,"
664,10,"and chasms, and caves, and titan woods,"
665,10,with forms that no man can discover
666,10,for the tears that drip all over;
667,10,mountains toppling evermore
668,10,into seas without a shore;
669,10,"seas that restlessly aspire,"
670,10,"surging, unto skies of fire;"
671,10,lakes that endlessly outspread
672,10,"their lone waters- lone and dead,-"
673,10,their still waters- still and chilly
674,10,"with the snows of the lolling lily,"
675,10,by the lakes that thus outspread
676,10,"their lone waters, lone and dead,-"
677,10,"their sad waters, sad and chilly"
678,10,"with the snows of the lolling lily,-"
679,10,by the mountains- near the river
680,10,"murmuring lowly, murmuring ever,-"
681,10,"by the grey woods,- by the swamp"
682,10,where the toad and the newt encamp-
683,10,by the dismal tarns and pools
684,10,"where dwell the ghouls,-"
685,10,by each spot the most unholy-
686,10,in each nook most melancholy-
687,10,there the traveller meets aghast
688,10,sheeted memories of the past-
689,10,shrouded forms that start and sigh
690,10,as they pass the wanderer by-
691,10,"white-robed forms of friends long given,"
692,10,"in agony, to the earth- and heaven,"
693,10,for the heart whose woes are legion
694,10,"'tis a peaceful, soothing region-"
695,10,for the spirit that walks in shadow
696,10,"'tis- oh, 'tis an eldorado!"
697,10,"but the traveller, travelling through it,"
698,10,may not- dare not openly view it!
699,10,never its mysteries are exposed
700,10,to the weak human eye unclosed;
701,10,"so wills its king, who hath forbid"
702,10,the uplifting of the fringed lid;
703,10,and thus the sad soul that here passes
704,10,"beholds it but through darkened glasses,"
705,10,"by a route obscure and lonely,"
706,10,"haunted by ill angels only,"
707,10,"where an eidolon, named night,"
708,10,"on a black throne reigns upright,"
709,10,i have wandered home but newly
710,10,"from this ultimate dim thule,"
711,11,oh! that my young life were a lasting dream!
712,11,"   my spirit not awakening, till the beam"
713,11,"   of an eternity should bring the morrow,"
714,11,"   yes! tho' that long dream were of hopeless sorrow,"
715,11,   'twere better than the cold reality
716,11,"   of waking life, to him whose heart must be,"
717,11,"   and hath been still, upon the lovely earth,"
718,11,"   a chaos of deep passion, from his birth,"
719,11,   but should it be- that dream eternally
720,11,   continuing- as dreams have been to me
721,11,"   in my young boyhood- should it thus be given,"
722,11,"   'twere folly still to hope for higher heaven,"
723,11,"   for i have revell'd, when the sun was bright"
724,11,"   i' the summer sky, in dreams of living light"
725,11,"   and loveliness,- have left my very heart"
726,11,"   in climes of my imagining, apart"
727,11,"   from mine own home, with beings that have been"
728,11,   of mine own thought- what more could i have seen?
729,11,   'twas once- and only once- and the wild hour
730,11,   from my remembrance shall not pass- some power
731,11,   or spell had bound me- 'twas the chilly wind
732,11,"   came o'er me in the night, and left behind"
733,11,   its image on my spirit- or the moon
734,11,   shone on my slumbers in her lofty noon
735,11,   too coldly- or the stars- howe'er it was
736,11,"   that dream was as that night-wind- let it pass,"
